id,currency
1,iota
2,dash
3,usd
4,ampl
5,leot
6,ltc
7,vet
8,xmr
9,eur
10,etp
11,eth
12,bchsv
13,bchabc
14,btc
15,etc
16,tnb
17,jpy
18,xrp
19,kan
20,usdt
21,neo
22,eos
23,omg
