num_base,num_quote,base,quote
1,6,btc,usd
4,6,eth,usd
1,2,btc,usdt
5,1,eos,btc
2,6,usdt,usd
3,6,xrp,usd
4,1,eth,btc
3,1,xrp,btc
5,6,eos,usd
