num_base,num_quote,base,quote
1,7,btc,usd
5,7,eth,usd
1,2,btc,usdt
6,1,eos,btc
2,7,usdt,usd
3,7,xrp,usd
4,7,ltc,usd
4,1,ltc,btc
5,1,eth,btc
3,1,xrp,btc
6,7,eos,usd
